sequenceID,sd,mean,range_value,abs_skewness,kurtosis,length,sum_diff,variance
1.1.F1,0.183430935,0.313450826,1.354228587,2.207026202,7.508871207,474,42.0822659,0.033646908
1.11.F1,0.263227652,0.092563047,0.931738882,0.148131168,-1.487185175,155,18.88319703,0.069288797
1.15.F1,0.186725237,-0.119022853,1.178471798,1.731409677,5.540866606,79,10.13750615,0.034866314
1.6.F1,0.212939995,-0.080282205,0.966269143,0.287526183,-0.943569913,163,19.488164,0.045343442
1.9.F1,0.229760124,-0.120553152,1.163706479,0.607609007,-0.106405665,118,13.04867167,0.052789715
106.11.F1,0.349948735,-0.042464824,1.416,0.007766193,-1.331131804,199,28.222,0.122464117
106.17.F1,0.336058526,0.251324468,1.208,1.003539173,-0.467131059,188,23.986,0.112935333
106.5.F1,0.111055415,-0.042860026,1.206,1.535850239,15.42684545,256,17.81233333,0.012333305
106.6.F1,0.116411661,-0.006302691,0.784,0.377099168,0.182334069,223,18.998,0.013551675
106.9.F1,0.111505032,-0.056623529,0.659,1.40740592,3.469968897,170,12.168,0.012433372
109.2.F1,0.12212036,0.157125261,0.864398513,0.007406279,0.531384481,414,39.81337563,0.014913382
109.8.F1,0.095579003,-0.086290219,0.478653599,0.10855994,-0.976477604,303,18.28218221,0.009135346
11.1.F1,0.246537073,0.169974487,1.463780728,1.452575539,2.134538441,495,64.87634407,0.060780529
11.4.F1,0.153355894,-0.04004588,1.001247467,2.023895639,5.833437407,178,18.32311858,0.02351803
12.1.F1,0.118398515,0.010348598,1.086,0.686978597,7.478288635,535,30.841,0.014018208
12.11.F1,0.335416648,-0.055135678,1.17,0.26312904,-1.471690985,199,24.264,0.112504327
12.17.F1,0.313618542,0.370797872,1.115,0.158905426,-1.284841056,188,26.047,0.09835659
12.2.F1,0.160868057,0.090824825,0.634,0.688109383,-0.944827973,333,20.90133333,0.025878532
12.6.F1,0.139939457,0.066183857,0.963,0.724550903,0.325459221,223,16.654,0.019583052
12.X.F1,0.186743666,-0.242772727,0.876,0.214531574,-0.989709314,187,18.231,0.034873197
128.12.F1,0.14277425,0.140577384,0.567201062,0.076653918,-1.315557525,190,16.05562426,0.020384486
128.17.F1,0.33082341,0.222014972,1.139634536,0.820140245,-0.885441016,143,16.67666668,0.109444129
128.2.F1,0.123964967,0.057475234,0.569639831,1.355940185,0.850957855,243,14.68622984,0.015367313
128.3.F1,0.206327736,-0.139716276,0.813470091,0.941163838,-0.388904183,171,22.00669855,0.042571135
128.6.F1,0.134329326,0.090188619,0.502773191,0.722171245,-0.842597157,149,9.838651572,0.018044368
138.1.F1,0.134381516,0.037759641,0.738398616,0.165750143,-0.481855345,650,65.15129778,0.018058392
139.3.F1,0.103716966,-0.132066929,0.519,0.87812355,0.220557658,254,13.909,0.010757209
139.4.F1,0.063819684,0.007051502,0.593,2.116498766,9.432821576,233,9.986,0.004072952
139.7.F1,0.236119875,0.219726776,1.12,0.708016551,-0.642373969,183,15.722,0.055752595
145.1.F1,0.126380746,-0.029941828,0.933186648,2.299539461,6.29876491,409,22.17738505,0.015972093
145.17.F1,0.234338692,0.312901071,0.847148512,0.015004495,-1.372739985,155,13.23896936,0.054914622
145.19.F1,0.138019942,-0.033895351,0.535921633,1.297562395,0.645579595,39,2.560138201,0.019049504
145.2.F1,0.137556093,0.048883583,0.802767653,1.344345505,1.130400356,218,13.5274544,0.018921679
145.3.F1,0.201056489,-0.134098957,1.034417597,0.916317125,-0.12175863,161,13.13668281,0.040423712
145.4.F1,0.133886998,-0.063395523,0.766409372,2.040090664,4.875600174,135,8.560242221,0.017925728
145.6.F1,0.195983868,-0.149589251,0.771058793,0.628305837,-1.154072394,127,9.593355351,0.038409677
145.7.F1,0.165312834,0.204517413,0.949678415,0.183641057,-0.102650944,95,6.763655146,0.027328333
149.1.F1,0.062532469,0.008942108,0.838397841,0.073252731,13.90030923,508,22.41218054,0.00391031
149.11.F1,0.200948621,-0.188048227,0.751665041,0.16214417,-1.51091356,172,13.61222771,0.040380348
149.2.F1,0.09413759,0.050213428,0.767292523,0.376509828,1.360219589,294,15.99031978,0.008861886
149.6.F1,0.148136576,0.085900931,0.548813497,0.83282586,-0.810365291,182,9.369050866,0.021944445
153.11.F1,0.158360669,-0.076185319,0.940905252,1.451691493,3.210923252,145,17.14924138,0.025078101
153.17.F1,0.161679823,0.141696363,0.893523372,0.94269761,0.719425266,154,17.71878169,0.026140365
153.18.F1,0.142055643,0.071002045,0.76900586,0.228453781,0.368151489,76,7.285418554,0.020179806
153.2.F1,0.162960711,0.055710966,0.966397342,1.395151461,2.068556942,247,23.37866872,0.026556193
153.4.F1,0.167118571,-0.112719386,0.967723597,1.236016373,1.666539154,154,18.51631919,0.027928617
153.7.F1,0.146414421,-0.032858137,0.97735916,2.138692999,6.994197278,116,12.97921266,0.021437183
162.1.F1,0.085870991,-0.007472595,0.848920527,1.844990203,9.946151403,451,24.97955,0.007373827
162.11.F1,0.206441053,-0.135770405,1.030873665,0.815134498,0.102524239,136,15.4421285,0.042617908
162.17.F1,0.226485378,0.114394935,0.864460218,1.053280517,-0.101933033,147,15.83099841,0.051295626
162.19.F1,0.187202242,-0.099172649,0.751154783,0.849296226,-0.118683584,42,4.280307407,0.035044679
162.22.F1,0.123466684,0.072950919,0.629135326,0.88476419,0.765895128,73,5.896480562,0.015244022
162.3.F1,0.221714752,-0.04261466,0.998898286,0.626568096,-0.298871208,172,17.52649138,0.049157431
162.5.F1,0.162592998,-0.067076653,0.948072208,1.721944987,2.752096286,189,14.59399059,0.026436483
162.7.F1,0.149282068,0.12961011,0.602929047,0.667317303,-0.56526703,115,10.75781589,0.022285136
162.8.F1,0.126289041,-0.05507901,0.634005124,1.458190357,1.971206795,121,8.292322395,0.015948922
17.1.F1,0.09489966,0.054407259,0.595367255,0.360549347,-0.2418346,466,23.73485833,0.009005945
17.11.F1,0.156841424,-0.071989619,0.679018245,0.079530415,-0.570539725,150,12.29721031,0.024599232
172.1.F1,0.084595824,0.000700935,0.523,0.860961219,1.032746748,535,33.852,0.007156453
172.17.F1,0.123604905,0.065300532,0.663,0.85677923,0.259210615,188,13.928,0.015278173
172.3.F1,0.106832422,-0.058389105,0.459,0.722092831,-0.696154824,257,15.523,0.011413166
172.4.F1,0.08649517,-0.011565126,0.447,1.051113901,0.566648325,238,14.753,0.007481414
173.11.F1,0.162346898,-0.166649566,0.608133349,0.504483971,-1.0988139,135,10.63877914,0.026356515
173.15.F1,0.168380492,-0.085222658,0.704821959,0.910430065,-0.322140923,67,5.285072468,0.02835199
173.16.F1,0.170603381,-0.196836965,0.581642142,0.091788516,-1.517094157,71,4.952769752,0.029105514
173.19.F1,0.145104465,-0.052756515,0.681747563,0.94389244,1.784761878,39,4.006661946,0.021055306
173.4.F1,0.138442488,-0.097292142,0.798315267,0.980456986,1.557913592,134,10.40087618,0.019166322
173.8.F1,0.159365427,0.018330916,1.176171032,0.800680183,4.482472945,102,10.22171564,0.025397339
188.1.F1,0.168968645,0.075679439,0.81,0.794406052,-0.682525835,535,39.454,0.028550403
188.2.F1,0.175970781,0.050499799,0.831,1.53300562,1.171809173,332,22.50486667,0.030965716
188.3.F1,0.255977002,-0.206955253,1.294,0.716284824,-0.519627935,257,28.296,0.065524226
188.6.F1,0.153772545,0.221426009,0.57,0.64501502,-0.8692957,223,19.919,0.023645996
188.9.F1,0.160222902,0.045217647,0.615,1.130648394,-0.001492075,170,12.581,0.025671378
189.1.F1,0.109447941,0.000923471,1.312768096,1.015815157,7.250513962,652,40.61571378,0.011978852
189.11.F1,0.310356421,0.013547312,1.284856508,0.116294263,-1.28603453,235,29.83959554,0.096321108
189.15.F1,0.169501682,-0.079231763,0.816146906,1.366680954,1.495812603,136,11.7403891,0.02873082
189.17.F1,0.264580448,0.237247174,1.033869575,0.579085518,-1.029333237,248,22.86136248,0.070002813
189.18.F1,0.114931823,0.16674004,0.487715004,1.143506888,0.172185356,129,7.005290664,0.013209324
189.2.F1,0.096455722,0.005759943,0.981756026,1.981904587,11.75253485,414,23.90243639,0.009303706
189.2.F1,0.171714747,0.309642675,0.789041499,0.82649017,-0.150248185,138,11.14676145,0.029485954
189.3.F1,0.130976568,-0.046045804,0.857356407,1.292515087,2.491734308,390,23.1930662,0.017154861
189.5.F1,0.129714429,0.110933701,0.671655163,0.0585926,-1.119191651,306,19.24720945,0.016825833
189.X.F1,0.126166644,-0.061640697,0.744486864,1.507683262,2.123233323,227,11.67930495,0.015918022
2.1.F1,0.398834862,-0.440016477,1.246639968,0.102669208,-1.719446978,496,56.84127479,0.159069247
2.19.F1,0.249703361,-0.203150614,1.00386609,1.332044532,0.722056036,60,7.382830952,0.062351769
20003.2.F1,0.22107504,0.016834269,4.518658,5.179253932,48.43604465,22215,3071.923598,0.048874173
20005.2.F1,0.391234546,-0.099072149,5.729333,0.812030958,6.909861169,22215,4055.321362,0.15306447
20005.3.F1,0.264839003,0.100447551,5.150015,1.108787672,10.16739309,18380,3214.5162,0.070139698
20033.11.F1,0.260434066,-0.024663096,3.566485,0.472565549,1.588268326,13306,2473.805307,0.067825903
