sequenceID,min.log.lambda,max.log.lambda
1.1.F1,-2.302585093,inf
1.11.F1,-2.302585093,inf
1.15.F1,-2.302585093,0
1.6.F1,-1.151292546,1.151292546
1.9.F1,-1.151292546,1.151292546
106.11.F1,0,inf
106.17.F1,-1.151292546,inf
106.5.F1,0,inf
106.6.F1,-2.302585093,inf
106.9.F1,-3.453877639,0
109.2.F1,-1.151292546,inf
109.8.F1,-3.453877639,0
11.1.F1,0,2.302585093
11.4.F1,-1.151292546,0
12.1.F1,-1.151292546,1.151292546
12.11.F1,-1.151292546,inf
12.17.F1,-1.151292546,inf
12.2.F1,-2.302585093,inf
12.6.F1,-3.453877639,inf
12.X.F1,-1.151292546,0
128.12.F1,-1.151292546,inf
128.17.F1,-1.151292546,inf
128.2.F1,-2.302585093,inf
128.3.F1,-1.151292546,inf
128.6.F1,-2.302585093,inf
138.1.F1,-1.151292546,inf
139.3.F1,-2.302585093,inf
139.4.F1,-3.453877639,inf
139.7.F1,-1.151292546,inf
145.1.F1,-2.302585093,1.151292546
145.17.F1,0,1.151292546
145.19.F1,-4.605170186,inf
145.2.F1,-2.302585093,1.151292546
145.3.F1,0,1.151292546
145.4.F1,-2.302585093,-1.151292546
145.6.F1,-2.302585093,0
145.7.F1,-3.453877639,0
149.1.F1,-1.151292546,inf
149.11.F1,-2.302585093,1.151292546
149.2.F1,-4.605170186,0
149.6.F1,-3.453877639,-2.302585093
153.11.F1,-1.151292546,0
153.17.F1,0,inf
153.18.F1,-2.302585093,inf
153.2.F1,0,inf
153.4.F1,-2.302585093,inf
153.7.F1,0,inf
162.1.F1,-1.151292546,inf
162.11.F1,-1.151292546,inf
162.17.F1,-2.302585093,inf
162.19.F1,-2.302585093,inf
162.22.F1,-1.151292546,-1.151292546
162.3.F1,-1.151292546,0
162.5.F1,-1.151292546,inf
162.7.F1,-2.302585093,inf
162.8.F1,-1.151292546,0
17.1.F1,-3.453877639,inf
17.11.F1,-3.453877639,-1.151292546
172.1.F1,-1.151292546,inf
172.17.F1,-2.302585093,inf
172.3.F1,-3.453877639,inf
172.4.F1,-2.302585093,inf
173.11.F1,-1.151292546,inf
173.15.F1,-3.453877639,inf
173.16.F1,-2.302585093,inf
173.19.F1,-inf,inf
173.4.F1,-3.453877639,0
173.8.F1,-1.151292546,inf
188.1.F1,-1.151292546,inf
188.2.F1,-1.151292546,1.151292546
188.3.F1,0,inf
188.6.F1,-3.453877639,1.151292546
188.9.F1,-2.302585093,inf
189.1.F1,0,inf
189.11.F1,-1.151292546,inf
189.15.F1,-2.302585093,inf
189.17.F1,-1.151292546,inf
189.18.F1,-2.302585093,-1.151292546
189.2.F1,-2.302585093,inf
189.2.F1,-2.302585093,inf
189.3.F1,-2.302585093,1.151292546
189.5.F1,-2.302585093,inf
189.X.F1,-1.151292546,0
2.1.F1,-1.151292546,inf
2.19.F1,-2.302585093,0
20003.2.F1,1.151292546,4.605170186
20005.2.F1,1.151292546,1.151292546
20005.3.F1,2.302585093,3.453877639
20033.11.F1,2.302585093,5.756462732
20052.3.F1,-1.151292546,inf
20082.22.F1,1.151292546,2.302585093
20090.2.F1,2.302585093,3.453877639
20092.19.F1,3.453877639,inf
20105.22.F1,2.302585093,inf
20108.2.F1,2.302585093,3.453877639
20109.2.F1,2.302585093,3.453877639
20118.2.F1,1.151292546,4.605170186
20119.2.F1,1.151292546,5.756462732
20121.14.F1,0,1.151292546
20121.7.F1,1.151292546,3.453877639
20124.1.F1,2.302585093,5.756462732
20124.16.F1,3.453877639,4.605170186
20124.2.F1,2.302585093,5.756462732
20124.3.F1,2.302585093,inf
20129.2.F1,1.151292546,2.302585093
20133.X.F1,1.151292546,1.151292546
20134.X.F1,1.151292546,1.151292546
20135.14.F1,1.151292546,1.151292546
20136.17.F1,0,inf
20138.1.F1,4.605170186,inf
20139.12.F1,2.302585093,inf
20139.16.F1,-1.151292546,inf
20139.17.F1,1.151292546,3.453877639
20139.3.F1,0,5.756462732
20139.4.F1,-2.302585093,0
20139.5.F1,-2.302585093,inf
20140.14.F1,-2.302585093,inf
20140.15.F1,-1.151292546,inf
20141.12.F1,-2.302585093,inf
20141.14.F1,0,inf
20141.5.F1,-5.756462732,inf
20142.18.F1,3.453877639,inf
20142.22.F1,0,0
20143.X.F1,1.151292546,2.302585093
20144.14.F1,1.151292546,1.151292546
20144.9.F1,-1.151292546,inf
20145.1.F1,-1.151292546,inf
20145.1.F1,0,0
20145.12.F1,-2.302585093,inf
20145.14.F1,1.151292546,1.151292546
20145.4.F1,0,inf
20145.8.F1,-1.151292546,inf
20145.9.F1,1.151292546,3.453877639
20145.X.F1,-2.302585093,2.302585093
20146.17.F1,1.151292546,5.756462732
20146.4.F1,-1.151292546,0
20148.1.F1,-1.151292546,0
20151.14.F1,0,0
20151.17.F1,1.151292546,4.605170186
20154.4.F1,0,0
20154.9.F1,3.453877639,3.453877639
20157.11.F1,2.302585093,2.302585093
20158.1.F1,2.302585093,inf
20158.9.F1,-1.151292546,-1.151292546
20159.1.F1,0,1.151292546
20159.14.F1,1.151292546,1.151292546
20159.15.F1,2.302585093,3.453877639
20159.3.F1,1.151292546,1.151292546
20159.4.F1,1.151292546,1.151292546
20159.9.F1,-1.151292546,0
20160.14.F1,-1.151292546,inf
20160.17.F1,2.302585093,4.605170186
20160.4.F1,1.151292546,inf
20160.5.F1,1.151292546,1.151292546
20161.1.F1,-2.302585093,inf
20161.12.F1,-1.151292546,inf
20161.22.F1,-1.151292546,inf
20162.12.F1,-1.151292546,inf
20162.17.F1,1.151292546,4.605170186
20162.7.F1,1.151292546,3.453877639
20163.1.F1,-5.756462732,inf
20163.7.F1,-1.151292546,-1.151292546
20163.9.F1,-1.151292546,-1.151292546
20164.1.F1,-1.151292546,0
20164.14.F1,1.151292546,1.151292546
20164.4.F1,-2.302585093,inf
20165.15.F1,1.151292546,inf
20165.22.F1,0,3.453877639
20165.4.F1,-2.302585093,inf
20166.12.F1,-1.151292546,inf
20166.17.F1,1.151292546,3.453877639
20166.4.F1,0,0
20167.22.F1,0,0
20167.4.F1,-2.302585093,0
20168.11.F1,-2.302585093,-1.151292546
20168.16.F1,-2.302585093,inf
20168.17.F1,0,5.756462732
20168.19.F1,2.302585093,inf
20168.4.F1,0,inf
20169.1.F1,-2.302585093,inf
20169.14.F1,0,1.151292546
